district,year,pathway,value_pct,cohort_n,source_url
Shenendehowa,2021,Advanced Regents,28.1,686,https://data.nysed.gov/gradrate.php?instid=441201060000&year=2021
Shenendehowa,2021,Local,23.4,686,https://data.nysed.gov/gradrate.php?instid=441201060000&year=2021
Shenendehowa,2021,CDOS,5.5,686,https://data.nysed.gov/gradrate.php?instid=441201060000&year=2021
Shenendehowa,2022,Regents,58.3,686,https://data.nysed.gov/gradrate.php?instid=441201060000&year=2022
Shenendehowa,2022,Advanced Regents,42.7,686,https://data.nysed.gov/gradrate.php?instid=441201060000&year=2022
Shenendehowa,2022,Local,9.2,686,https://data.nysed.gov/gradrate.php?instid=441201060000&year=2022
Shenendehowa,2022,CDOS,10.3,686,https://data.nysed.gov/gradrate.php?instid=441201060000&year=2022
Shenendehowa,2023,Regents,50.3,686,https://data.nysed.gov/gradrate.php?instid=441201060000&year=2023
Shenendehowa,2023,Advanced Regents,39.3,686,https://data.nysed.gov/gradrate.php?instid=441201060000&year=2023
Shenendehowa,2023,Local,7.6,686,https://data.nysed.gov/gradrate.php?instid=441201060000&year=2023
Shenendehowa,2023,CDOS,8.4,686,https://data.nysed.gov/gradrate.php?instid=441201060000&year=2023
Shenendehowa,2024,Regents,48.0,686,https://data.nysed.gov/gradrate.php?instid=441201060000&year=2024
Shenendehowa,2024,Advanced Regents,16.7,686,https://data.nysed.gov/gradrate.php?instid=441201060000&year=2024
Shenendehowa,2024,Local,9.6,686,https://data.nysed.gov/gradrate.php?instid=441201060000&year=2024
Shenendehowa,2024,CDOS,2.4,686,https://data.nysed.gov/gradrate.php?instid=441201060000&year=2024
Burnt Hills-Ballston Lake,2019,Regents,40.5,632,https://data.nysed.gov/gradrate.php?instid=441301060000&year=2019
Burnt Hills-Ballston Lake,2019,Advanced Regents,29.9,632,https://data.nysed.gov/gradrate.php?instid=441301060000&year=2019
Burnt Hills-Ballston Lake,2019,Local,23.4,632,https://data.nysed.gov/gradrate.php?instid=441301060000&year=2019
Burnt Hills-Ballston Lake,2019,CDOS,2.4,632,https://data.nysed.gov/gradrate.php?instid=441301060000&year=2019
Burnt Hills-Ballston Lake,2020,Regents,59.8,632,https://data.nysed.gov/gradrate.php?instid=441301060000&year=2020
Burnt Hills-Ballston Lake,2020,Advanced Regents,29.9,632,https://data.nysed.gov/gradrate.php?instid=441301060000&year=2020
Burnt Hills-Ballston Lake,2020,Local,20.0,632,https://data.nysed.gov/gradrate.php?instid=441301060000&year=2020
Burnt Hills-Ballston Lake,2020,CDOS,13.0,632,https://data.nysed.gov/gradrate.php?instid=441301060000&year=2020
Burnt Hills-Ballston Lake,2021,Regents,48.6,632,https://data.nysed.gov/gradrate.php?instid=441301060000&year=2021
Burnt Hills-Ballston Lake,2021,Advanced Regents,16.1,632,https://data.nysed.gov/gradrate.php?instid=441301060000&year=2021
Burnt Hills-Ballston Lake,2021,Local,9.1,632,https://data.nysed.gov/gradrate.php?instid=441301060000&year=2021
Burnt Hills-Ballston Lake,2021,CDOS,10.0,632,https://data.nysed.gov/gradrate.php?instid=441301060000&year=2021
Burnt Hills-Ballston Lake,2022,Regents,42.1,632,https://data.nysed.gov/gradrate.php?instid=441301060000&year=2022
Burnt Hills-Ballston Lake,2022,Advanced Regents,39.7,632,https://data.nysed.gov/gradrate.php?instid=441301060000&year=2022
Burnt Hills-Ballston Lake,2022,Local,10.1,632,https://data.nysed.gov/gradrate.php?instid=441301060000&year=2022
Burnt Hills-Ballston Lake,2022,CDOS,11.9,632,https://data.nysed.gov/gradrate.php?instid=441301060000&year=2022
Burnt Hills-Ballston Lake,2023,Regents,45.1,632,https://data.nysed.gov/gradrate.php?instid=441301060000&year=2023
Burnt Hills-Ballston Lake,2023,Advanced Regents,40.2,632,https://data.nysed.gov/gradrate.php?instid=441301060000&year=2023
Burnt Hills-Ballston Lake,2023,Local,19.6,632,https://data.nysed.gov/gradrate.php?instid=441301060000&year=2023
Burnt Hills-Ballston Lake,2023,CDOS,4.1,632,https://data.nysed.gov/gradrate.php?instid=441301060000&year=2023
Burnt Hills-Ballston Lake,2024,Regents,59.3,632,https://data.nysed.gov/gradrate.php?instid=441301060000&year=2024
Burnt Hills-Ballston Lake,2024,Advanced Regents,44.5,632,https://data.nysed.gov/gradrate.php?instid=441301060000&year=2024
Burnt Hills-Ballston Lake,2024,Local,12.2,632,https://data.nysed.gov/gradrate.php?instid=441301060000&year=2024
Burnt Hills-Ballston Lake,2024,CDOS,6.0,632,https://data.nysed.gov/gradrate.php?instid=441301060000&year=2024
Schenectady,2019,Regents,52.1,1886,https://data.nysed.gov/gradrate.php?instid=530600010000&year=2019
Schenectady,2019,Advanced Regents,31.8,1886,https://data.nysed.gov/gradrate.php?instid=530600010000&year=2019
Schenectady,2019,Local,5.4,1886,https://data.nysed.gov/gradrate.php?instid=530600010000&year=2019
Schenectady,2019,CDOS,12.9,1886,https://data.nysed.gov/gradrate.php?instid=530600010000&year=2019
Schenectady,2020,Regents,37.1,1886,https://data.nysed.gov/gradrate.php?instid=530600010000&year=2020
Schenectady,2020,Advanced Regents,31.7,1886,https://data.nysed.gov/gradrate.php?instid=530600010000&year=2020
Schenectady,2020,Local,17.4,1886,https://data.nysed.gov/gradrate.php?instid=530600010000&year=2020
Schenectady,2020,CDOS,4.0,1886,https://data.nysed.gov/gradrate.php?instid=530600010000&year=2020
Schenectady,2021,Regents,51.0,1886,https://data.nysed.gov/gradrate.php?instid=530600010000&year=2021
Schenectady,2021,Advanced Regents,22.5,1886,https://data.nysed.gov/gradrate.php?instid=530600010000&year=2021
Schenectady,2021,Local,15.3,1886,https://data.nysed.gov/gradrate.php?instid=530600010000&year=2021
Schenectady,2021,CDOS,2.3,1886,https://data.nysed.gov/gradrate.php?instid=530600010000&year=2021
Schenectady,2022,Regents,59.9,1886,https://data.nysed.gov/gradrate.php?instid=530600010000&year=2022
Schenectady,2022,Advanced Regents,23.7,1886,https://data.nysed.gov/gradrate.php?instid=530600010000&year=2022
Schenectady,2022,Local,11.3,1886,https://data.nysed.gov/gradrate.php?instid=530600010000&year=2022
Schenectady,2022,CDOS,3.4,1886,https://data.nysed.gov/gradrate.php?instid=530600010000&year=2022
Schenectady,2023,Regents,44.0,1886,https://data.nysed.gov/gradrate.php?instid=530600010000&year=2023
Schenectady,2023,Advanced Regents,33.7,1886,https://data.nysed.gov/gradrate.php?instid=530600010000&year=2023
Schenectady,2023,Local,6.0,1886,https://data.nysed.gov/gradrate.php?instid=530600010000&year=2023
Schenectady,2023,CDOS,13.2,1886,https://data.nysed.gov/gradrate.php?instid=530600010000&year=2023
Schenectady,2024,Regents,44.7,1886,https://data.nysed.gov/gradrate.php?instid=530600010000&year=2024
Schenectady,2024,Advanced Regents,21.5,1886,https://data.nysed.gov/gradrate.php?instid=530600010000&year=2024
Schenectady,2024,Local,14.6,1886,https://data.nysed.gov/gradrate.php?instid=530600010000&year=2024
Schenectady,2024,CDOS,5.9,1886,https://data.nysed.gov/gradrate.php?instid=530600010000&year=2024
Mohonasen,2019,Regents,51.2,782,https://data.nysed.gov/gradrate.php?instid=530501060000&year=2019
Mohonasen,2019,Advanced Regents,27.3,782,https://data.nysed.gov/gradrate.php?instid=530501060000&year=2019
Mohonasen,2019,Local,18.3,782,https://data.nysed.gov/gradrate.php?instid=530501060000&year=2019
Mohonasen,2019,CDOS,13.2,782,https://data.nysed.gov/gradrate.php?instid=530501060000&year=2019
Mohonasen,2020,Regents,53.5,782,https://data.nysed.gov/gradrate.php?instid=530501060000&year=2020
Mohonasen,2020,Advanced Regents,27.4,782,https://data.nysed.gov/gradrate.php?instid=530501060000&year=2020
Mohonasen,2020,Local,19.8,782,https://data.nysed.gov/gradrate.php?instid=530501060000&year=2020
Mohonasen,2020,CDOS,7.6,782,https://data.nysed.gov/gradrate.php?instid=530501060000&year=2020
Mohonasen,2021,Regents,55.5,782,https://data.nysed.gov/gradrate.php?instid=530501060000&year=2021
Mohonasen,2021,Advanced Regents,18.9,782,https://data.nysed.gov/gradrate.php?instid=530501060000&year=2021
Mohonasen,2021,Local,14.0,782,https://data.nysed.gov/gradrate.php?instid=530501060000&year=2021
Mohonasen,2021,CDOS,12.1,782,https://data.nysed.gov/gradrate.php?instid=530501060000&year=2021
Mohonasen,2022,Regents,55.7,782,https://data.nysed.gov/gradrate.php?instid=530501060000&year=2022
Mohonasen,2022,Advanced Regents,29.6,782,https://data.nysed.gov/gradrate.php?instid=530501060000&year=2022
Mohonasen,2022,Local,15.4,782,https://data.nysed.gov/gradrate.php?instid=530501060000&year=2022
Mohonasen,2022,CDOS,4.2,782,https://data.nysed.gov/gradrate.php?instid=530501060000&year=2022
Mohonasen,2023,Regents,38.5,782,https://data.nysed.gov/gradrate.php?instid=530501060000&year=2023
Mohonasen,2023,Advanced Regents,23.3,782,https://data.nysed.gov/gradrate.php?instid=530501060000&year=2023
Mohonasen,2023,Local,11.8,782,https://data.nysed.gov/gradrate.php?instid=530501060000&year=2023
Mohonasen,2023,CDOS,14.6,782,https://data.nysed.gov/gradrate.php?instid=530501060000&year=2023
Mohonasen,2024,Regents,53.4,782,https://data.nysed.gov/gradrate.php?instid=530501060000&year=2024
Mohonasen,2024,Advanced Regents,17.5,782,https://data.nysed.gov/gradrate.php?instid=530501060000&year=2024
Mohonasen,2024,Local,14.0,782,https://data.nysed.gov/gradrate.php?instid=530501060000&year=2024
Mohonasen,2024,CDOS,4.6,782,https://data.nysed.gov/gradrate.php?instid=530501060000&year=2024
Guilderland,2019,Regents,39.5,1168,https://data.nysed.gov/gradrate.php?instid=010503060000&year=2019
Guilderland,2019,Advanced Regents,30.6,1168,https://data.nysed.gov/gradrate.php?instid=010503060000&year=2019
Guilderland,2019,Local,17.5,1168,https://data.nysed.gov/gradrate.php?instid=010503060000&year=2019
Guilderland,2019,CDOS,7.9,1168,https://data.nysed.gov/gradrate.php?instid=010503060000&year=2019
Guilderland,2020,Regents,41.1,1168,https://data.nysed.gov/gradrate.php?instid=010503060000&year=2020
Guilderland,2020,Advanced Regents,23.4,1168,https://data.nysed.gov/gradrate.php?instid=010503060000&year=2020
Guilderland,2020,Local,19.1,1168,https://data.nysed.gov/gradrate.php?instid=010503060000&year=2020
Guilderland,2020,CDOS,9.9,1168,https://data.nysed.gov/gradrate.php?instid=010503060000&year=2020
Guilderland,2021,Regents,43.7,1168,https://data.nysed.gov/gradrate.php?instid=010503060000&year=2021
Guilderland,2021,Advanced Regents,38.9,1168,https://data.nysed.gov/gradrate.php?instid=010503060000&year=2021
Guilderland,2021,Local,11.7,1168,https://data.nysed.gov/gradrate.php?instid=010503060000&year=2021
Guilderland,2021,CDOS,12.9,1168,https://data.nysed.gov/gradrate.php?instid=010503060000&year=2021
Guilderland,2022,Regents,44.9,1168,https://data.nysed.gov/gradrate.php?instid=010503060000&year=2022
Guilderland,2022,Advanced Regents,42.4,1168,https://data.nysed.gov/gradrate.php?instid=010503060000&year=2022
Guilderland,2022,Local,5.1,1168,https://data.nysed.gov/gradrate.php?instid=010503060000&year=2022
Guilderland,2022,CDOS,10.8,1168,https://data.nysed.gov/gradrate.php?instid=010503060000&year=2022
Guilderland,2023,Regents,38.7,1168,https://data.nysed.gov/gradrate.php?instid=010503060000&year=2023
Guilderland,2023,Advanced Regents,19.1,1168,https://data.nysed.gov/gradrate.php?instid=010503060000&year=2023
Guilderland,2023,Local,6.5,1168,https://data.nysed.gov/gradrate.php?instid=010503060000&year=2023
Guilderland,2023,CDOS,8.2,1168,https://data.nysed.gov/gradrate.php?instid=010503060000&year=2023
Guilderland,2024,Regents,56.8,1168,https://data.nysed.gov/gradrate.php?instid=010503060000&year=2024
Guilderland,2024,Advanced Regents,15.0,1168,https://data.nysed.gov/gradrate.php?instid=010503060000&year=2024
Guilderland,2024,Local,16.9,1168,https://data.nysed.gov/gradrate.php?instid=010503060000&year=2024
Guilderland,2024,CDOS,6.6,1168,https://data.nysed.gov/gradrate.php?instid=010503060000&year=2024
Bethlehem,2019,Regents,42.1,1399,https://data.nysed.gov/gradrate.php?instid=010306060000&year=2019
Bethlehem,2019,Advanced Regents,45.0,1399,https://data.nysed.gov/gradrate.php?instid=010306060000&year=2019
Bethlehem,2019,Local,19.1,1399,https://data.nysed.gov/gradrate.php?instid=010306060000&year=2019
Bethlehem,2019,CDOS,3.8,1399,https://data.nysed.gov/gradrate.php?instid=010306060000&year=2019
Bethlehem,2020,Regents,56.4,1399,https://data.nysed.gov/gradrate.php?instid=010306060000&year=2020
Bethlehem,2020,Advanced Regents,35.1,1399,https://data.nysed.gov/gradrate.php?instid=010306060000&year=2020
Bethlehem,2020,Local,6.4,1399,https://data.nysed.gov/gradrate.php?instid=010306060000&year=2020
Bethlehem,2020,CDOS,8.6,1399,https://data.nysed.gov/gradrate.php?instid=010306060000&year=2020
Bethlehem,2021,Regents,35.8,1399,https://data.nysed.gov/gradrate.php?instid=010306060000&year=2021
Bethlehem,2021,Advanced Regents,35.0,1399,https://data.nysed.gov/gradrate.php?instid=010306060000&year=2021
Bethlehem,2021,Local,24.5,1399,https://data.nysed.gov/gradrate.php?instid=010306060000&year=2021
Bethlehem,2021,CDOS,6.8,1399,https://data.nysed.gov/gradrate.php?instid=010306060000&year=2021
Bethlehem,2022,Regents,57.9,1399,https://data.nysed.gov/gradrate.php?instid=010306060000&year=2022
Bethlehem,2022,Advanced Regents,36.0,1399,https://data.nysed.gov/gradrate.php?instid=010306060000&year=2022
Bethlehem,2022,Local,11.9,1399,https://data.nysed.gov/gradrate.php?instid=010306060000&year=2022
Bethlehem,2022,CDOS,4.1,1399,https://data.nysed.gov/gradrate.php?instid=010306060000&year=2022
Bethlehem,2023,Regents,54.5,1399,https://data.nysed.gov/gradrate.php?instid=010306060000&year=2023
Bethlehem,2023,Advanced Regents,17.9,1399,https://data.nysed.gov/gradrate.php?instid=010306060000&year=2023
Bethlehem,2023,Local,13.5,1399,https://data.nysed.gov/gradrate.php?instid=010306060000&year=2023
Bethlehem,2023,CDOS,3.4,1399,https://data.nysed.gov/gradrate.php?instid=010306060000&year=2023
Bethlehem,2024,Regents,40.2,1399,https://data.nysed.gov/gradrate.php?instid=010306060000&year=2024
Bethlehem,2024,Advanced Regents,31.2,1399,https://data.nysed.gov/gradrate.php?instid=010306060000&year=2024
Bethlehem,2024,Local,18.7,1399,https://data.nysed.gov/gradrate.php?instid=010306060000&year=2024
Bethlehem,2024,CDOS,4.1,1399,https://data.nysed.gov/gradrate.php?instid=010306060000&year=2024
East Greenbush,2019,Regents,36.3,1515,https://data.nysed.gov/gradrate.php?instid=490301060000&year=2019
East Greenbush,2019,Advanced Regents,37.6,1515,https://data.nysed.gov/gradrate.php?instid=490301060000&year=2019
East Greenbush,2019,Local,9.5,1515,https://data.nysed.gov/gradrate.php?instid=490301060000&year=2019
East Greenbush,2019,CDOS,12.6,1515,https://data.nysed.gov/gradrate.php?instid=490301060000&year=2019
East Greenbush,2020,Regents,43.3,1515,https://data.nysed.gov/gradrate.php?instid=490301060000&year=2020
East Greenbush,2020,Advanced Regents,32.2,1515,https://data.nysed.gov/gradrate.php?instid=490301060000&year=2020
East Greenbush,2020,Local,9.9,1515,https://data.nysed.gov/gradrate.php?instid=490301060000&year=2020
East Greenbush,2020,CDOS,6.9,1515,https://data.nysed.gov/gradrate.php?instid=490301060000&year=2020
East Greenbush,2021,Regents,37.2,1515,https://data.nysed.gov/gradrate.php?instid=490301060000&year=2021
East Greenbush,2021,Advanced Regents,36.3,1515,https://data.nysed.gov/gradrate.php?instid=490301060000&year=2021
East Greenbush,2021,Local,13.3,1515,https://data.nysed.gov/gradrate.php?instid=490301060000&year=2021
East Greenbush,2021,CDOS,6.4,1515,https://data.nysed.gov/gradrate.php?instid=490301060000&year=2021
East Greenbush,2022,Regents,46.7,1515,https://data.nysed.gov/gradrate.php?instid=490301060000&year=2022
East Greenbush,2022,Advanced Regents,20.4,1515,https://data.nysed.gov/gradrate.php?instid=490301060000&year=2022
East Greenbush,2022,Local,24.8,1515,https://data.nysed.gov/gradrate.php?instid=490301060000&year=2022
East Greenbush,2022,CDOS,4.3,1515,https://data.nysed.gov/gradrate.php?instid=490301060000&year=2022
East Greenbush,2023,Regents,59.4,1515,https://data.nysed.gov/gradrate.php?instid=490301060000&year=2023
East Greenbush,2023,Advanced Regents,23.2,1515,https://data.nysed.gov/gradrate.php?instid=490301060000&year=2023
East Greenbush,2023,Local,23.3,1515,https://data.nysed.gov/gradrate.php?instid=490301060000&year=2023
East Greenbush,2023,CDOS,6.4,1515,https://data.nysed.gov/gradrate.php?instid=490301060000&year=2023
East Greenbush,2024,Regents,54.6,1515,https://data.nysed.gov/gradrate.php?instid=490301060000&year=2024
East Greenbush,2024,Advanced Regents,34.4,1515,https://data.nysed.gov/gradrate.php?instid=490301060000&year=2024
East Greenbush,2024,Local,11.9,1515,https://data.nysed.gov/gradrate.php?instid=490301060000&year=2024
East Greenbush,2024,CDOS,14.3,1515,https://data.nysed.gov/gradrate.php?instid=490301060000&year=2024
Averill Park,2019,Regents,49.2,1085,https://data.nysed.gov/gradrate.php?instid=490601060000&year=2019
Averill Park,2019,Advanced Regents,40.1,1085,https://data.nysed.gov/gradrate.php?instid=490601060000&year=2019
Averill Park,2019,Local,23.8,1085,https://data.nysed.gov/gradrate.php?instid=490601060000&year=2019
Averill Park,2019,CDOS,13.0,1085,https://data.nysed.gov/gradrate.php?instid=490601060000&year=2019
Averill Park,2020,Regents,59.3,1085,https://data.nysed.gov/gradrate.php?instid=490601060000&year=2020
Averill Park,2020,Advanced Regents,44.1,1085,https://data.nysed.gov/gradrate.php?instid=490601060000&year=2020
Averill Park,2020,Local,18.4,1085,https://data.nysed.gov/gradrate.php?instid=490601060000&year=2020
Averill Park,2020,CDOS,6.0,1085,https://data.nysed.gov/gradrate.php?instid=490601060000&year=2020
Averill Park,2021,Regents,43.6,1085,https://data.nysed.gov/gradrate.php?instid=490601060000&year=2021
Averill Park,2021,Advanced Regents,18.7,1085,https://data.nysed.gov/gradrate.php?instid=490601060000&year=2021
Averill Park,2021,Local,6.1,1085,https://data.nysed.gov/gradrate.php?instid=490601060000&year=2021
Averill Park,2021,CDOS,5.9,1085,https://data.nysed.gov/gradrate.php?instid=490601060000&year=2021
Averill Park,2022,Regents,38.9,1085,https://data.nysed.gov/gradrate.php?instid=490601060000&year=2022
Averill Park,2022,Advanced Regents,27.3,1085,https://data.nysed.gov/gradrate.php?instid=490601060000&year=2022
Averill Park,2022,Local,22.4,1085,https://data.nysed.gov/gradrate.php?instid=490601060000&year=2022
Averill Park,2022,CDOS,6.0,1085,https://data.nysed.gov/gradrate.php?instid=490601060000&year=2022
Averill Park,2023,Regents,38.7,1085,https://data.nysed.gov/gradrate.php?instid=490601060000&year=2023
Averill Park,2023,Advanced Regents,27.6,1085,https://data.nysed.gov/gradrate.php?instid=490601060000&year=2023
Averill Park,2023,Local,7.6,1085,https://data.nysed.gov/gradrate.php?instid=490601060000&year=2023
Averill Park,2023,CDOS,12.9,1085,https://data.nysed.gov/gradrate.php?instid=490601060000&year=2023
Averill Park,2024,Regents,50.8,1085,https://data.nysed.gov/gradrate.php?instid=490601060000&year=2024
Averill Park,2024,Advanced Regents,36.8,1085,https://data.nysed.gov/gradrate.php?instid=490601060000&year=2024
Averill Park,2024,Local,14.2,1085,https://data.nysed.gov/gradrate.php?instid=490601060000&year=2024
Averill Park,2024,CDOS,5.4,1085,https://data.nysed.gov/gradrate.php?instid=490601060000&year=2024
Ravena-Coeymans-Selkirk,2019,Regents,55.1,1185,https://data.nysed.gov/gradrate.php?instid=010601060000&year=2019
Ravena-Coeymans-Selkirk,2019,Advanced Regents,22.1,1185,https://data.nysed.gov/gradrate.php?instid=010601060000&year=2019
Ravena-Coeymans-Selkirk,2019,Local,5.2,1185,https://data.nysed.gov/gradrate.php?instid=010601060000&year=2019
Ravena-Coeymans-Selkirk,2019,CDOS,6.1,1185,https://data.nysed.gov/gradrate.php?instid=010601060000&year=2019
Ravena-Coeymans-Selkirk,2020,Regents,56.0,1185,https://data.nysed.gov/gradrate.php?instid=010601060000&year=2020
Ravena-Coeymans-Selkirk,2020,Advanced Regents,34.1,1185,https://data.nysed.gov/gradrate.php?instid=010601060000&year=2020
Ravena-Coeymans-Selkirk,2020,Local,20.1,1185,https://data.nysed.gov/gradrate.php?instid=010601060000&year=2020
Ravena-Coeymans-Selkirk,2020,CDOS,8.1,1185,https://data.nysed.gov/gradrate.php?instid=010601060000&year=2020
Ravena-Coeymans-Selkirk,2021,Regents,48.6,1185,https://data.nysed.gov/gradrate.php?instid=010601060000&year=2021
Ravena-Coeymans-Selkirk,2021,Advanced Regents,26.6,1185,https://data.nysed.gov/gradrate.php?instid=010601060000&year=2021
Ravena-Coeymans-Selkirk,2021,Local,5.0,1185,https://data.nysed.gov/gradrate.php?instid=010601060000&year=2021
Ravena-Coeymans-Selkirk,2021,CDOS,4.1,1185,https://data.nysed.gov/gradrate.php?instid=010601060000&year=2021
Ravena-Coeymans-Selkirk,2022,Regents,57.8,1185,https://data.nysed.gov/gradrate.php?instid=010601060000&year=2022
Ravena-Coeymans-Selkirk,2022,Advanced Regents,20.2,1185,https://data.nysed.gov/gradrate.php?instid=010601060000&year=2022
Ravena-Coeymans-Selkirk,2022,Local,17.2,1185,https://data.nysed.gov/gradrate.php?instid=010601060000&year=2022
Ravena-Coeymans-Selkirk,2022,CDOS,4.3,1185,https://data.nysed.gov/gradrate.php?instid=010601060000&year=2022
Ravena-Coeymans-Selkirk,2023,Regents,48.6,1185,https://data.nysed.gov/gradrate.php?instid=010601060000&year=2023
Ravena-Coeymans-Selkirk,2023,Advanced Regents,40.8,1185,https://data.nysed.gov/gradrate.php?instid=010601060000&year=2023
Ravena-Coeymans-Selkirk,2023,Local,19.9,1185,https://data.nysed.gov/gradrate.php?instid=010601060000&year=2023
Ravena-Coeymans-Selkirk,2023,CDOS,9.0,1185,https://data.nysed.gov/gradrate.php?instid=010601060000&year=2023
Ravena-Coeymans-Selkirk,2024,Regents,49.3,1185,https://data.nysed.gov/gradrate.php?instid=010601060000&year=2024
Ravena-Coeymans-Selkirk,2024,Advanced Regents,28.9,1185,https://data.nysed.gov/gradrate.php?instid=010601060000&year=2024
Ravena-Coeymans-Selkirk,2024,Local,22.7,1185,https://data.nysed.gov/gradrate.php?instid=010601060000&year=2024
Ravena-Coeymans-Selkirk,2024,CDOS,3.4,1185,https://data.nysed.gov/gradrate.php?instid=010601060000&year=2024
Great Neck,2019,Regents,38.2,1096,https://data.nysed.gov/gradrate.php?instid=280410030000&year=2019
Great Neck,2019,Advanced Regents,40.3,1096,https://data.nysed.gov/gradrate.php?instid=280410030000&year=2019
Great Neck,2019,Local,9.7,1096,https://data.nysed.gov/gradrate.php?instid=280410030000&year=2019
Great Neck,2019,CDOS,2.7,1096,https://data.nysed.gov/gradrate.php?instid=280410030000&year=2019
Great Neck,2020,Regents,42.3,1096,https://data.nysed.gov/gradrate.php?instid=280410030000&year=2020
Great Neck,2020,Advanced Regents,38.9,1096,https://data.nysed.gov/gradrate.php?instid=280410030000&year=2020
Great Neck,2020,Local,17.5,1096,https://data.nysed.gov/gradrate.php?instid=280410030000&year=2020
Great Neck,2020,CDOS,12.3,1096,https://data.nysed.gov/gradrate.php?instid=280410030000&year=2020
Great Neck,2021,Regents,43.5,1096,https://data.nysed.gov/gradrate.php?instid=280410030000&year=2021
Great Neck,2021,Advanced Regents,21.6,1096,https://data.nysed.gov/gradrate.php?instid=280410030000&year=2021
Great Neck,2021,Local,15.8,1096,https://data.nysed.gov/gradrate.php?instid=280410030000&year=2021
Great Neck,2021,CDOS,2.3,1096,https://data.nysed.gov/gradrate.php?instid=280410030000&year=2021
Great Neck,2022,Regents,42.7,1096,https://data.nysed.gov/gradrate.php?instid=280410030000&year=2022
Great Neck,2022,Advanced Regents,22.1,1096,https://data.nysed.gov/gradrate.php?instid=280410030000&year=2022
Great Neck,2022,Local,14.6,1096,https://data.nysed.gov/gradrate.php?instid=280410030000&year=2022
Great Neck,2022,CDOS,8.8,1096,https://data.nysed.gov/gradrate.php?instid=280410030000&year=2022
Great Neck,2023,Regents,50.6,1096,https://data.nysed.gov/gradrate.php?instid=280410030000&year=2023
