district,year,metric,value_pct,cohort_n,source_url
Schenectady,2020,grad_5yr,99.0,1886,https://data.nysed.gov/gradrate.php?instid=530600010000&year=2020
Schenectady,2020,grad_6yr,81.3,1886,https://data.nysed.gov/gradrate.php?instid=530600010000&year=2020
Schenectady,2021,grad_4yr_aug,96.0,1886,https://data.nysed.gov/gradrate.php?instid=530600010000&year=2021
Schenectady,2021,grad_5yr,98.9,1886,https://data.nysed.gov/gradrate.php?instid=530600010000&year=2021
Schenectady,2021,grad_6yr,96.8,1886,https://data.nysed.gov/gradrate.php?instid=530600010000&year=2021
Schenectady,2022,grad_4yr_aug,79.5,1886,https://data.nysed.gov/gradrate.php?instid=530600010000&year=2022
Schenectady,2022,grad_5yr,87.4,1886,https://data.nysed.gov/gradrate.php?instid=530600010000&year=2022
Schenectady,2022,grad_6yr,86.0,1886,https://data.nysed.gov/gradrate.php?instid=530600010000&year=2022
Schenectady,2023,grad_4yr_aug,87.0,1886,https://data.nysed.gov/gradrate.php?instid=530600010000&year=2023
Schenectady,2023,grad_5yr,82.4,1886,https://data.nysed.gov/gradrate.php?instid=530600010000&year=2023
Schenectady,2023,grad_6yr,96.6,1886,https://data.nysed.gov/gradrate.php?instid=530600010000&year=2023
Schenectady,2024,grad_4yr_aug,96.1,1886,https://data.nysed.gov/gradrate.php?instid=530600010000&year=2024
Schenectady,2024,grad_5yr,84.8,1886,https://data.nysed.gov/gradrate.php?instid=530600010000&year=2024
Schenectady,2024,grad_6yr,95.8,1886,https://data.nysed.gov/gradrate.php?instid=530600010000&year=2024
Mohonasen,2019,grad_4yr_aug,96.2,782,https://data.nysed.gov/gradrate.php?instid=530501060000&year=2019
Mohonasen,2019,grad_5yr,77.2,782,https://data.nysed.gov/gradrate.php?instid=530501060000&year=2019
Mohonasen,2019,grad_6yr,98.2,782,https://data.nysed.gov/gradrate.php?instid=530501060000&year=2019
Mohonasen,2020,grad_4yr_aug,78.0,782,https://data.nysed.gov/gradrate.php?instid=530501060000&year=2020
Mohonasen,2020,grad_5yr,88.8,782,https://data.nysed.gov/gradrate.php?instid=530501060000&year=2020
Mohonasen,2020,grad_6yr,93.5,782,https://data.nysed.gov/gradrate.php?instid=530501060000&year=2020
Mohonasen,2021,grad_4yr_aug,92.3,782,https://data.nysed.gov/gradrate.php?instid=530501060000&year=2021
Mohonasen,2021,grad_5yr,86.3,782,https://data.nysed.gov/gradrate.php?instid=530501060000&year=2021
Mohonasen,2021,grad_6yr,97.3,782,https://data.nysed.gov/gradrate.php?instid=530501060000&year=2021
Mohonasen,2022,grad_4yr_aug,87.5,782,https://data.nysed.gov/gradrate.php?instid=530501060000&year=2022
Mohonasen,2022,grad_5yr,96.5,782,https://data.nysed.gov/gradrate.php?instid=530501060000&year=2022
Mohonasen,2022,grad_6yr,86.6,782,https://data.nysed.gov/gradrate.php?instid=530501060000&year=2022
Mohonasen,2023,grad_4yr_aug,88.6,782,https://data.nysed.gov/gradrate.php?instid=530501060000&year=2023
Mohonasen,2023,grad_5yr,78.2,782,https://data.nysed.gov/gradrate.php?instid=530501060000&year=2023
Mohonasen,2023,grad_6yr,82.8,782,https://data.nysed.gov/gradrate.php?instid=530501060000&year=2023
Mohonasen,2024,grad_4yr_aug,85.5,782,https://data.nysed.gov/gradrate.php?instid=530501060000&year=2024
Mohonasen,2024,grad_5yr,88.6,782,https://data.nysed.gov/gradrate.php?instid=530501060000&year=2024
Mohonasen,2024,grad_6yr,98.5,782,https://data.nysed.gov/gradrate.php?instid=530501060000&year=2024
Guilderland,2019,grad_4yr_aug,74.0,1168,https://data.nysed.gov/gradrate.php?instid=010503060000&year=2019
Guilderland,2019,grad_5yr,81.5,1168,https://data.nysed.gov/gradrate.php?instid=010503060000&year=2019
Guilderland,2019,grad_6yr,81.3,1168,https://data.nysed.gov/gradrate.php?instid=010503060000&year=2019
Guilderland,2020,grad_4yr_aug,96.8,1168,https://data.nysed.gov/gradrate.php?instid=010503060000&year=2020
Guilderland,2020,grad_5yr,79.1,1168,https://data.nysed.gov/gradrate.php?instid=010503060000&year=2020
Guilderland,2020,grad_6yr,87.9,1168,https://data.nysed.gov/gradrate.php?instid=010503060000&year=2020
Guilderland,2021,grad_4yr_aug,97.3,1168,https://data.nysed.gov/gradrate.php?instid=010503060000&year=2021
Guilderland,2021,grad_5yr,84.4,1168,https://data.nysed.gov/gradrate.php?instid=010503060000&year=2021
Guilderland,2021,grad_6yr,97.1,1168,https://data.nysed.gov/gradrate.php?instid=010503060000&year=2021
Guilderland,2022,grad_4yr_aug,84.1,1168,https://data.nysed.gov/gradrate.php?instid=010503060000&year=2022
Guilderland,2022,grad_5yr,95.6,1168,https://data.nysed.gov/gradrate.php?instid=010503060000&year=2022
Guilderland,2022,grad_6yr,85.6,1168,https://data.nysed.gov/gradrate.php?instid=010503060000&year=2022
Guilderland,2023,grad_4yr_aug,73.7,1168,https://data.nysed.gov/gradrate.php?instid=010503060000&year=2023
Guilderland,2023,grad_5yr,85.8,1168,https://data.nysed.gov/gradrate.php?instid=010503060000&year=2023
Guilderland,2023,grad_6yr,98.8,1168,https://data.nysed.gov/gradrate.php?instid=010503060000&year=2023
Guilderland,2024,grad_4yr_aug,79.1,1168,https://data.nysed.gov/gradrate.php?instid=010503060000&year=2024
Guilderland,2024,grad_5yr,95.2,1168,https://data.nysed.gov/gradrate.php?instid=010503060000&year=2024
Guilderland,2024,grad_6yr,78.4,1168,https://data.nysed.gov/gradrate.php?instid=010503060000&year=2024
Bethlehem,2019,grad_4yr_aug,70.1,1399,https://data.nysed.gov/gradrate.php?instid=010306060000&year=2019
Bethlehem,2019,grad_5yr,94.5,1399,https://data.nysed.gov/gradrate.php?instid=010306060000&year=2019
Bethlehem,2019,grad_6yr,82.6,1399,https://data.nysed.gov/gradrate.php?instid=010306060000&year=2019
Bethlehem,2020,grad_4yr_aug,94.0,1399,https://data.nysed.gov/gradrate.php?instid=010306060000&year=2020
Bethlehem,2020,grad_5yr,75.3,1399,https://data.nysed.gov/gradrate.php?instid=010306060000&year=2020
Bethlehem,2020,grad_6yr,92.2,1399,https://data.nysed.gov/gradrate.php?instid=010306060000&year=2020
Bethlehem,2021,grad_4yr_aug,97.3,1399,https://data.nysed.gov/gradrate.php?instid=010306060000&year=2021
Bethlehem,2021,grad_5yr,83.9,1399,https://data.nysed.gov/gradrate.php?instid=010306060000&year=2021
Bethlehem,2021,grad_6yr,89.0,1399,https://data.nysed.gov/gradrate.php?instid=010306060000&year=2021
Bethlehem,2022,grad_4yr_aug,84.1,1399,https://data.nysed.gov/gradrate.php?instid=010306060000&year=2022
Bethlehem,2022,grad_5yr,93.9,1399,https://data.nysed.gov/gradrate.php?instid=010306060000&year=2022
Bethlehem,2022,grad_6yr,91.6,1399,https://data.nysed.gov/gradrate.php?instid=010306060000&year=2022
Bethlehem,2023,grad_4yr_aug,88.1,1399,https://data.nysed.gov/gradrate.php?instid=010306060000&year=2023
Bethlehem,2023,grad_5yr,96.1,1399,https://data.nysed.gov/gradrate.php?instid=010306060000&year=2023
Bethlehem,2023,grad_6yr,91.5,1399,https://data.nysed.gov/gradrate.php?instid=010306060000&year=2023
Bethlehem,2024,grad_4yr_aug,78.2,1399,https://data.nysed.gov/gradrate.php?instid=010306060000&year=2024
Bethlehem,2024,grad_5yr,90.9,1399,https://data.nysed.gov/gradrate.php?instid=010306060000&year=2024
Bethlehem,2024,grad_6yr,87.3,1399,https://data.nysed.gov/gradrate.php?instid=010306060000&year=2024
East Greenbush,2019,grad_4yr_aug,89.7,1515,https://data.nysed.gov/gradrate.php?instid=490301060000&year=2019
East Greenbush,2019,grad_5yr,94.5,1515,https://data.nysed.gov/gradrate.php?instid=490301060000&year=2019
East Greenbush,2019,grad_6yr,98.9,1515,https://data.nysed.gov/gradrate.php?instid=490301060000&year=2019
East Greenbush,2020,grad_4yr_aug,71.4,1515,https://data.nysed.gov/gradrate.php?instid=490301060000&year=2020
East Greenbush,2020,grad_5yr,96.6,1515,https://data.nysed.gov/gradrate.php?instid=490301060000&year=2020
East Greenbush,2020,grad_6yr,87.5,1515,https://data.nysed.gov/gradrate.php?instid=490301060000&year=2020
East Greenbush,2021,grad_4yr_aug,97.7,1515,https://data.nysed.gov/gradrate.php?instid=490301060000&year=2021
East Greenbush,2021,grad_5yr,77.1,1515,https://data.nysed.gov/gradrate.php?instid=490301060000&year=2021
East Greenbush,2021,grad_6yr,87.9,1515,https://data.nysed.gov/gradrate.php?instid=490301060000&year=2021
East Greenbush,2022,grad_4yr_aug,87.0,1515,https://data.nysed.gov/gradrate.php?instid=490301060000&year=2022
East Greenbush,2022,grad_5yr,78.4,1515,https://data.nysed.gov/gradrate.php?instid=490301060000&year=2022
East Greenbush,2022,grad_6yr,88.0,1515,https://data.nysed.gov/gradrate.php?instid=490301060000&year=2022
East Greenbush,2023,grad_4yr_aug,75.8,1515,https://data.nysed.gov/gradrate.php?instid=490301060000&year=2023
East Greenbush,2023,grad_5yr,86.5,1515,https://data.nysed.gov/gradrate.php?instid=490301060000&year=2023
East Greenbush,2023,grad_6yr,93.4,1515,https://data.nysed.gov/gradrate.php?instid=490301060000&year=2023
East Greenbush,2024,grad_4yr_aug,93.8,1515,https://data.nysed.gov/gradrate.php?instid=490301060000&year=2024
East Greenbush,2024,grad_5yr,75.7,1515,https://data.nysed.gov/gradrate.php?instid=490301060000&year=2024
East Greenbush,2024,grad_6yr,89.8,1515,https://data.nysed.gov/gradrate.php?instid=490301060000&year=2024
Averill Park,2019,grad_4yr_aug,87.0,1085,https://data.nysed.gov/gradrate.php?instid=490601060000&year=2019
Averill Park,2019,grad_5yr,91.6,1085,https://data.nysed.gov/gradrate.php?instid=490601060000&year=2019
Averill Park,2019,grad_6yr,89.3,1085,https://data.nysed.gov/gradrate.php?instid=490601060000&year=2019
Averill Park,2020,grad_4yr_aug,88.5,1085,https://data.nysed.gov/gradrate.php?instid=490601060000&year=2020
Averill Park,2020,grad_5yr,85.3,1085,https://data.nysed.gov/gradrate.php?instid=490601060000&year=2020
Averill Park,2020,grad_6yr,82.6,1085,https://data.nysed.gov/gradrate.php?instid=490601060000&year=2020
Averill Park,2021,grad_4yr_aug,91.4,1085,https://data.nysed.gov/gradrate.php?instid=490601060000&year=2021
Averill Park,2021,grad_5yr,96.0,1085,https://data.nysed.gov/gradrate.php?instid=490601060000&year=2021
Averill Park,2021,grad_6yr,78.6,1085,https://data.nysed.gov/gradrate.php?instid=490601060000&year=2021
Averill Park,2022,grad_4yr_aug,85.3,1085,https://data.nysed.gov/gradrate.php?instid=490601060000&year=2022
Averill Park,2022,grad_5yr,86.1,1085,https://data.nysed.gov/gradrate.php?instid=490601060000&year=2022
Averill Park,2022,grad_6yr,89.4,1085,https://data.nysed.gov/gradrate.php?instid=490601060000&year=2022
Averill Park,2023,grad_4yr_aug,75.8,1085,https://data.nysed.gov/gradrate.php?instid=490601060000&year=2023
Averill Park,2023,grad_5yr,97.8,1085,https://data.nysed.gov/gradrate.php?instid=490601060000&year=2023
Averill Park,2023,grad_6yr,80.1,1085,https://data.nysed.gov/gradrate.php?instid=490601060000&year=2023
Averill Park,2024,grad_4yr_aug,77.3,1085,https://data.nysed.gov/gradrate.php?instid=490601060000&year=2024
Averill Park,2024,grad_5yr,81.7,1085,https://data.nysed.gov/gradrate.php?instid=490601060000&year=2024
Averill Park,2024,grad_6yr,94.3,1085,https://data.nysed.gov/gradrate.php?instid=490601060000&year=2024
Ravena-Coeymans-Selkirk,2019,grad_4yr_aug,88.6,1185,https://data.nysed.gov/gradrate.php?instid=010601060000&year=2019
Ravena-Coeymans-Selkirk,2019,grad_5yr,78.2,1185,https://data.nysed.gov/gradrate.php?instid=010601060000&year=2019
Ravena-Coeymans-Selkirk,2019,grad_6yr,78.1,1185,https://data.nysed.gov/gradrate.php?instid=010601060000&year=2019
Ravena-Coeymans-Selkirk,2020,grad_4yr_aug,74.8,1185,https://data.nysed.gov/gradrate.php?instid=010601060000&year=2020
Ravena-Coeymans-Selkirk,2020,grad_5yr,78.5,1185,https://data.nysed.gov/gradrate.php?instid=010601060000&year=2020
Ravena-Coeymans-Selkirk,2020,grad_6yr,79.9,1185,https://data.nysed.gov/gradrate.php?instid=010601060000&year=2020
Ravena-Coeymans-Selkirk,2021,grad_4yr_aug,74.0,1185,https://data.nysed.gov/gradrate.php?instid=010601060000&year=2021
Ravena-Coeymans-Selkirk,2021,grad_5yr,79.0,1185,https://data.nysed.gov/gradrate.php?instid=010601060000&year=2021
Ravena-Coeymans-Selkirk,2021,grad_6yr,97.5,1185,https://data.nysed.gov/gradrate.php?instid=010601060000&year=2021
Ravena-Coeymans-Selkirk,2022,grad_4yr_aug,74.5,1185,https://data.nysed.gov/gradrate.php?instid=010601060000&year=2022
Ravena-Coeymans-Selkirk,2022,grad_5yr,88.8,1185,https://data.nysed.gov/gradrate.php?instid=010601060000&year=2022
Ravena-Coeymans-Selkirk,2022,grad_6yr,87.5,1185,https://data.nysed.gov/gradrate.php?instid=010601060000&year=2022
Ravena-Coeymans-Selkirk,2023,grad_4yr_aug,93.2,1185,https://data.nysed.gov/gradrate.php?instid=010601060000&year=2023
Ravena-Coeymans-Selkirk,2023,grad_5yr,97.9,1185,https://data.nysed.gov/gradrate.php?instid=010601060000&year=2023
Ravena-Coeymans-Selkirk,2023,grad_6yr,92.9,1185,https://data.nysed.gov/gradrate.php?instid=010601060000&year=2023
Ravena-Coeymans-Selkirk,2024,grad_4yr_aug,86.5,1185,https://data.nysed.gov/gradrate.php?instid=010601060000&year=2024
Ravena-Coeymans-Selkirk,2024,grad_5yr,82.9,1185,https://data.nysed.gov/gradrate.php?instid=010601060000&year=2024
Ravena-Coeymans-Selkirk,2024,grad_6yr,98.5,1185,https://data.nysed.gov/gradrate.php?instid=010601060000&year=2024
Great Neck,2019,grad_4yr_aug,73.6,1096,https://data.nysed.gov/gradrate.php?instid=280410030000&year=2019
Great Neck,2019,grad_5yr,83.4,1096,https://data.nysed.gov/gradrate.php?instid=280410030000&year=2019
Great Neck,2019,grad_6yr,78.7,1096,https://data.nysed.gov/gradrate.php?instid=280410030000&year=2019
Great Neck,2020,grad_4yr_aug,92.6,1096,https://data.nysed.gov/gradrate.php?instid=280410030000&year=2020
Great Neck,2020,grad_5yr,80.5,1096,https://data.nysed.gov/gradrate.php?instid=280410030000&year=2020
Great Neck,2020,grad_6yr,97.3,1096,https://data.nysed.gov/gradrate.php?instid=280410030000&year=2020
Great Neck,2021,grad_4yr_aug,73.2,1096,https://data.nysed.gov/gradrate.php?instid=280410030000&year=2021
Great Neck,2021,grad_5yr,80.4,1096,https://data.nysed.gov/gradrate.php?instid=280410030000&year=2021
Great Neck,2021,grad_6yr,98.2,1096,https://data.nysed.gov/gradrate.php?instid=280410030000&year=2021
Great Neck,2022,grad_4yr_aug,73.2,1096,https://data.nysed.gov/gradrate.php?instid=280410030000&year=2022
Great Neck,2022,grad_5yr,89.4,1096,https://data.nysed.gov/gradrate.php?instid=280410030000&year=2022
Great Neck,2022,grad_6yr,89.7,1096,https://data.nysed.gov/gradrate.php?instid=280410030000&year=2022
Great Neck,2023,grad_4yr_aug,91.4,1096,https://data.nysed.gov/gradrate.php?instid=280410030000&year=2023
Great Neck,2023,grad_5yr,92.7,1096,https://data.nysed.gov/gradrate.php?instid=280410030000&year=2023
Great Neck,2023,grad_6yr,94.7,1096,https://data.nysed.gov/gradrate.php?instid=280410030000&year=2023
Great Neck,2024,grad_4yr_aug,97.6,1096,https://data.nysed.gov/gradrate.php?instid=280410030000&year=2024
Great Neck,2024,grad_5yr,83.6,1096,https://data.nysed.gov/gradrate.php?instid=280410030000&year=2024
Great Neck,2024,grad_6yr,94.1,1096,https://data.nysed.gov/gradrate.php?instid=280410030000&year=2024
Garden City,2019,grad_4yr_aug,97.3,746,https://data.nysed.gov/gradrate.php?instid=280206030000&year=2019
Garden City,2019,grad_5yr,84.1,746,https://data.nysed.gov/gradrate.php?instid=280206030000&year=2019
Garden City,2019,grad_6yr,92.9,746,https://data.nysed.gov/gradrate.php?instid=280206030000&year=2019
Garden City,2020,grad_4yr_aug,91.0,746,https://data.nysed.gov/gradrate.php?instid=280206030000&year=2020
Garden City,2020,grad_5yr,95.5,746,https://data.nysed.gov/gradrate.php?instid=280206030000&year=2020
Garden City,2020,grad_6yr,92.3,746,https://data.nysed.gov/gradrate.php?instid=280206030000&year=2020
Garden City,2021,grad_4yr_aug,90.4,746,https://data.nysed.gov/gradrate.php?instid=280206030000&year=2021
Garden City,2021,grad_5yr,94.7,746,https://data.nysed.gov/gradrate.php?instid=280206030000&year=2021
Garden City,2021,grad_6yr,82.1,746,https://data.nysed.gov/gradrate.php?instid=280206030000&year=2021
Garden City,2022,grad_4yr_aug,84.9,746,https://data.nysed.gov/gradrate.php?instid=280206030000&year=2022
Garden City,2022,grad_5yr,80.9,746,https://data.nysed.gov/gradrate.php?instid=280206030000&year=2022
Garden City,2022,grad_6yr,90.5,746,https://data.nysed.gov/gradrate.php?instid=280206030000&year=2022
Garden City,2023,grad_4yr_aug,80.8,746,https://data.nysed.gov/gradrate.php?instid=280206030000&year=2023
Garden City,2023,grad_5yr,75.7,746,https://data.nysed.gov/gradrate.php?instid=280206030000&year=2023
Garden City,2023,grad_6yr,86.5,746,https://data.nysed.gov/gradrate.php?instid=280206030000&year=2023
Garden City,2024,grad_4yr_aug,71.9,746,https://data.nysed.gov/gradrate.php?instid=280206030000&year=2024
Garden City,2024,grad_5yr,98.8,746,https://data.nysed.gov/gradrate.php?instid=280206030000&year=2024
Garden City,2024,grad_6yr,97.3,746,https://data.nysed.gov/gradrate.php?instid=280206030000&year=2024
Manhasset,2019,grad_4yr_aug,86.5,1656,https://data.nysed.gov/gradrate.php?instid=280408030000&year=2019
Manhasset,2019,grad_5yr,96.5,1656,https://data.nysed.gov/gradrate.php?instid=280408030000&year=2019
Manhasset,2019,grad_6yr,97.5,1656,https://data.nysed.gov/gradrate.php?instid=280408030000&year=2019
Manhasset,2020,grad_4yr_aug,88.9,1656,https://data.nysed.gov/gradrate.php?instid=280408030000&year=2020
Manhasset,2020,grad_5yr,82.9,1656,https://data.nysed.gov/gradrate.php?instid=280408030000&year=2020
Manhasset,2020,grad_6yr,94.1,1656,https://data.nysed.gov/gradrate.php?instid=280408030000&year=2020
Manhasset,2021,grad_4yr_aug,94.2,1656,https://data.nysed.gov/gradrate.php?instid=280408030000&year=2021
Manhasset,2021,grad_5yr,79.4,1656,https://data.nysed.gov/gradrate.php?instid=280408030000&year=2021
Manhasset,2021,grad_6yr,96.9,1656,https://data.nysed.gov/gradrate.php?instid=280408030000&year=2021
Manhasset,2022,grad_4yr_aug,86.5,1656,https://data.nysed.gov/gradrate.php?instid=280408030000&year=2022
Manhasset,2022,grad_5yr,85.1,1656,https://data.nysed.gov/gradrate.php?instid=280408030000&year=2022
Manhasset,2022,grad_6yr,93.1,1656,https://data.nysed.gov/gradrate.php?instid=280408030000&year=2022
Manhasset,2023,grad_4yr_aug,91.2,1656,https://data.nysed.gov/gradrate.php?instid=280408030000&year=2023
Manhasset,2023,grad_5yr,97.8,1656,https://data.nysed.gov/gradrate.php?instid=280408030000&year=2023
Manhasset,2023,grad_6yr,88.0,1656,https://data.nysed.gov/gradrate.php?instid=280408030000&year=2023
Manhasset,2024,grad_4yr_aug,78.7,1656,https://data.nysed.gov/gradrate.php?instid=280408030000&year=2024
Manhasset,2024,grad_5yr,76.8,1656,https://data.nysed.gov/gradrate.php?instid=280408030000&year=2024
Manhasset,2024,grad_6yr,78.6,1656,https://data.nysed.gov/gradrate.php?instid=280408030000&year=2024
Jericho,2019,grad_4yr_aug,92.0,1793,https://data.nysed.gov/gradrate.php?instid=280513030000&year=2019
Jericho,2019,grad_5yr,86.4,1793,https://data.nysed.gov/gradrate.php?instid=280513030000&year=2019
Jericho,2019,grad_6yr,91.3,1793,https://data.nysed.gov/gradrate.php?instid=280513030000&year=2019
Jericho,2020,grad_4yr_aug,78.0,1793,https://data.nysed.gov/gradrate.php?instid=280513030000&year=2020
Jericho,2020,grad_5yr,90.2,1793,https://data.nysed.gov/gradrate.php?instid=280513030000&year=2020
Jericho,2020,grad_6yr,84.8,1793,https://data.nysed.gov/gradrate.php?instid=280513030000&year=2020
Jericho,2021,grad_4yr_aug,72.4,1793,https://data.nysed.gov/gradrate.php?instid=280513030000&year=2021
Jericho,2021,grad_5yr,84.2,1793,https://data.nysed.gov/gradrate.php?instid=280513030000&year=2021
Jericho,2021,grad_6yr,80.4,1793,https://data.nysed.gov/gradrate.php?instid=280513030000&year=2021
Jericho,2022,grad_4yr_aug,93.3,1793,https://data.nysed.gov/gradrate.php?instid=280513030000&year=2022
Jericho,2022,grad_5yr,77.9,1793,https://data.nysed.gov/gradrate.php?instid=280513030000&year=2022
Jericho,2022,grad_6yr,85.4,1793,https://data.nysed.gov/gradrate.php?instid=280513030000&year=2022
